Protein;Count
D-threitol dehydrogenase;86
Ribokinase;18
Transcriptional repressor IclR;17
Sorbitol dehydrogenase;9
Tyrocidine synthase 3;120
Penicillin-binding protein 4*;1
Surfactin synthase subunit 2;1
Group II intron-encoded protein LtrA;1
IS3 family transposase ISHahy4;1
Sporulation initiation inhibitor protein Soj;60
Acyl-CoA dehydrogenase FadE28;11
ABC transporter glutamine-binding protein GlnH;18
Multidrug resistance protein EbrA;1
Type I secretion system ATP-binding protein PrsD;2
ComE operon protein 1;16
Periplasmic pH-dependent serine endoprotease DegQ;49
DEAD-box ATP-dependent RNA helicase CshA;24
NADH-quinone oxidoreductase subunit A;9
HTH-type transcriptional repressor PurR;6
Transcriptional regulatory protein WalR;9
Putrescine transporter PotE;29
Oligopeptide transport ATP-binding protein OppF;4
Narbonolide/10-deoxymethynolide synthase PikA3, module 5;5
Prolyl endopeptidase;11
Na(+)-translocating NADH-quinone reductase subunit F;98
Benzaldehyde dehydrogenase YfmT;15
phosphoglycerate mutase GpmB;6
Respiratory nitrate reductase 1 beta chain;4
Phosphoadenosine phosphosulfate reductase;3
Muconolactone Delta-isomerase;1
Transcriptional regulatory protein DegU;15
16S ribosomal RNA (partial);101
Putative transposase InsK for insertion sequence element IS150;19
IS3 family transposase ISLtaq1;1
5S ribosomal RNA;26
FMN-dependent NADH-azoreductase 4;1
Anthranilate 1,2-dioxygenase system ferredoxin--NAD(+) reductase component;13
Protein TraI;1
Protein TraJ;1
HMP-PP phosphatase;19
Constitutive ornithine decarboxylase;2
LL-diaminopimelate aminotransferase;18
Cytochrome P450 107B1;14
8-demethylnovobiocic acid synthase;1
Acyl-CoA dehydrogenase, short-chain specific;427
Hydroxycinnamoyl-CoA hydratase-lyase;4
A-adding tRNA nucleotidyltransferase;7
Proline dehydrogenase 2;26
K(+)/H(+) antiporter NhaP2;1
Diacetylchitobiose uptake system permease protein NgcF;16
IS30 family transposase ISLxc3;23
IS30 family transposase ISMdi25;3
L-carnitine dehydrogenase;10
tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial;8
Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic;9
Linear gramicidin synthase subunit B;26
Putative serine protease HhoA;8
N-succinylglutamate 5-semialdehyde dehydrogenase;7
Glycine dehydrogenase (decarboxylating);1
Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha;1
2,5-diketocamphane 1,2-monooxygenase 2;2
Transcriptional regulator SlyA;1
Ribosome-associated ATPase;24
Choline-sulfatase;13
Glyoxylate/hydroxypyruvate reductase B;2
1,2-phenylacetyl-CoA epoxidase, subunit E;32
Riboflavin transporter RibZ;39
putative iron export permease protein FetB;2
Fosfomycin resistance protein AbaF;285
DNA polymerase/3'-5' exonuclease PolX;7
Levodione reductase;14
Gluconate 5-dehydrogenase;12
3'-5' exonuclease DinG;31
IS1634 family transposase ISMyca1;1
Arsenical-resistance protein Acr3;97
4-hydroxy-3-methylbut-2-enyl diphosphate reductase;44
L-carnitine/gamma-butyrobetaine antiporter;4
Dual-specificity RNA methyltransferase RlmN;5
putative HTH-type transcriptional regulator YurK;10
Phytochrome-like protein cph2;16
IS30 family transposase ISLxc4;25
Protease 4;477
H(+)/Cl(-) exchange transporter ClcA;67
Glucose 1-dehydrogenase 1;1
Pectin degradation repressor protein KdgR;1
Enterobactin synthase component F;2
IS110 family transposase ISCARN28;1
IS481 family transposase ISNfa1;1
IS3 family transposase ISMsm7;1
Proline dehydrogenase;121
O-acetyltransferase OatA;20
Type I restriction enzyme EcoKI M protein;7
Melibiose/raffinose/stachyose import permease protein MelD;60
Glucose 1-dehydrogenase 2;1
3alpha-hydroxy bile acid-CoA-ester 3-dehydrogenase 2;1
(R)-specific enoyl-CoA hydratase;14
IS110 family transposase ISPpu10;10
Putative manganese exporter;5
L-amino acid amidase;3
Linearmycin resistance ATP-binding protein LnrL;4
UDP-N-acetylglucosamine 4-epimerase;7
Adaptive-response sensory-kinase SasA;88
Anthranilate 1,2-dioxygenase electron transfer component;13
Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit;8
Carnitine monooxygenase reductase subunit;24
HTH-type transcriptional regulator SrpR;2
HTH-type transcriptional activator RhaR;27
Uroporphyrinogen-III C-methyltransferase;16
Magnesium transport protein CorA;1
Cyclic di-GMP phosphodiesterase PdeR;4
IS3 family transposase ISBli17;3
putative carboxylesterase nap;1
Carbonic anhydrase 1;4
3-phenylpropionate/cinnamic acid dioxygenase ferredoxin--NAD(+) reductase component;2
Metalloprotease TldD;4
Succinyl-CoA--L-malate CoA-transferase alpha subunit;24
Narbonolide/10-deoxymethynolide synthase PikA4, module 6;44
Medium-chain fatty-acid--CoA ligase;10
Formate dehydrogenase H;8
Protein-glutamate methylesterase/protein-glutamine glutaminase;4
23S rRNA (uracil(747)-C(5))-methyltransferase RlmC;1
Small-conductance mechanosensitive channel;6
Nicotinate dehydrogenase small FeS subunit;2
Thiosulfate sulfurtransferase GlpE;13
Ferredoxin--NADP reductase;9
Multidrug resistance protein MdtB;1
Sulfoquinovose 1-dehydrogenase;1
1-pyrroline-5-carboxylate dehydrogenase 2;2
Nickel transport system permease protein NikB;1
NADP-dependent 3-hydroxy acid dehydrogenase YdfG;4
Glucan endo-1,3-beta-glucosidase A1;5
5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YcsE;3
DNA ligase;31
1-pyrroline-5-carboxylate dehydrogenase;5
L-fuculose phosphate aldolase;17
NADH dehydrogenase;1
Acetyl-CoA acetyltransferase;23
Narbonolide/10-deoxymethynolide synthase PikA2, modules 3 and 4;54
HTH-type transcriptional regulator YodB;1
Bile acid-coenzyme A ligase;45
3-oxocholoyl-CoA 4-desaturase;10
Trans-aconitate 2-methyltransferase;21
Aldehyde dehydrogenase, thermostable;57
Mercuric reductase;8
Ribonuclease Z;8
3-oxoadipate enol-lactonase 2;4
Glycine betaine/carnitine/choline transport ATP-binding protein OpuCA;16
Lactaldehyde dehydrogenase;2
CDP-diacylglycerol pyrophosphatase;5
Serine hydroxymethyltransferase;2
Alkanesulfonate monooxygenase;2
2-hydroxy-3-oxopropionate reductase;4
Putative metabolite transport protein YjhB;1
Beta-glucanase;16
Cytochrome p450 CYP199A2;5
Tagatose-6-phosphate kinase;3
Hopanoid C-3 methylase;3
Acetophenone carboxylase delta subunit;6
Acetophenone carboxylase gamma subunit;31
p-cumate 2,3-dioxygenase system, ferredoxin--NAD(+) reductase component;5
Energy-coupling factor transporter transmembrane protein EcfT;1
Hydroxylaminobenzene mutase HabB;16
ISNCY family transposase ISBli15;29
Multidrug resistance protein MdtL;2
HTH-type transcriptional repressor FabR;1
NADH-quinone oxidoreductase subunit C/D;4
putative D,D-dipeptide transport system permease protein DdpC;1
Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB;1
Allophanate hydrolase;1
Purine efflux pump PbuE;1
O-acetyl-ADP-ribose deacetylase;2
CC-adding tRNA nucleotidyltransferase;4
Octaprenyl diphosphate synthase;4
Cobalamin biosynthesis protein CbiB;10
Peptidoglycan glycosyltransferase MrdB;5
HTH-type transcriptional regulator MalT;1
Glucose-6-phosphate 1-dehydrogenase;14
Beta-glucosidase BoGH3A;11
C4-dicarboxylate transport protein;29
Diacetylchitobiose uptake system permease protein NgcG;6
Carnitine transport permease protein OpuCB;5
NAD(P) transhydrogenase subunit alpha;3
Molybdopterin synthase sulfur carrier subunit;1
Sulfide-quinone reductase;21
HTH-type transcriptional regulator KipR;2
HTH-type transcriptional repressor CzrA;1
Cadmium, cobalt and zinc/H(+)-K(+) antiporter;1
C4-dicarboxylic acid transporter DauA;2
L-lactate transporter;1
Protein CopG;1
Quinone reductase;7
putative metallo-hydrolase YflN;7
DNA helicase II;9
Hydroxypyruvate reductase;4
Methionine aminopeptidase 1, mitochondrial;4
Sulfate permease CysP;1
Pyruvate/proton symporter BtsT;1
Daunorubicin/doxorubicin resistance ABC transporter permease protein DrrB;1
3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase;20
Putative membrane protein insertion efficiency factor;1
5-hydroxyisourate hydrolase;1
Metallothiol transferase FosB;11
tRNA-Arg(gcg);2
NADP/NAD-dependent aldehyde dehydrogenase PuuC;3
Lon protease;11
putative acyl--CoA ligase YhfT;11
IS66 family transposase ISAba16;1
p-aminobenzoyl-glutamate hydrolase subunit B;43
D-amino acid dehydrogenase;27
Nucleoid occlusion protein;1
2,3-dihydroxybenzoate-AMP ligase;6
Peptidoglycan-N-acetylglucosamine deacetylase;196
4-chlorobenzoate--CoA ligase;7
Arsenical resistance operon repressor;1
Ureidoglycolate lyase;14
Trimethylamine-N-oxide reductase 1;3
Nucleoid-associated protein YbaB;9
Chaperone protein DnaJ;20
Gluconeogenesis factor;6
Malonate-semialdehyde dehydrogenase;12
L-idonate 5-dehydrogenase (NAD(P)(+));6
Peptidoglycan D,D-transpeptidase FtsI;1
Glutathione-regulated potassium-efflux system protein KefB;8
tRNA-His(atg);2
Succinyl-CoA--L-malate CoA-transferase beta subunit;5
HTH-type transcriptional regulator LutR;1
Diacetylchitobiose uptake system permease protein DasB;2
Cytochrome bd ubiquinol oxidase subunit 1;1
Glutamine transport system permease protein GlnP;1
Di-/tripeptide transporter;1
Putative hydro-lyase;1
NADPH-dependent curcumin reductase;1
Putative DNA repair helicase RadD;1
Putative two-component membrane permease complex subunit SMU_747c;1
L-ribulose 3-epimerase;1
HTH-type transcriptional regulator MurR;1
D-alanine--D-alanine ligase A;1
Gamma-aminobutyraldehyde dehydrogenase;1
Betaine/ectoine transporter LcoP;1
Petrobactin import system permease protein FatD;1
HTH-type transcriptional repressor CytR;1
Glyoxylate/hydroxypyruvate reductase A;1
Urocanate hydratase;1
ATP-dependent Clp protease proteolytic subunit;1
Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase;4
Protease 2;9
Heterocyst differentiation ATP-binding protein HepA;4
Alpha-ketoglutaric semialdehyde dehydrogenase;7
putative ABC transporter phosphite binding protein PhnD1;12
Elongation factor Ts, mitochondrial;4
Integration host factor subunit alpha;4
3-oxoadipyl-CoA/3-oxo-5,6-dehydrosuberyl-CoA thiolase;2
Ribosome hibernation promoting factor;2
Dipeptide transport ATP-binding protein DppD;4
Arginine biosynthesis bifunctional protein ArgJ, chloroplastic;5
Mannosylglycerate hydrolase;4
Anaerobic nitric oxide reductase flavorubredoxin;3
putative RNA methyltransferase;9
Ornithine carbamoyltransferase, catabolic;3
Esterase EstB;2
2-O-methyltransferase NoeI;2
tRNA-SeC(tca);1
Galactose-6-phosphate isomerase subunit LacB;2
NAD(P)H-quinone oxidoreductase subunit K;2
Glucosamine-6-phosphate deaminase;8
NAD(P)H-quinone oxidoreductase chain 4;2
3-beta-hydroxycholanate 3-dehydrogenase (NADP(+));1
Chloride/fluoride channel protein;3
IS3 family transposase ISMyma10;1
Protein-export membrane protein SecF;4
cytosol aminopeptidase;2
dTTP/UTP pyrophosphatase;2
Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase;2
Obg-like ATPase 1;3
DNA damage-inducible protein F;1
NADH-quinone oxidoreductase subunit 4;9
UDP-glucose 6-dehydrogenase TuaD;4
lipid II flippase MurJ;2
Putative aldehyde dehydrogenase AldA;4
8-amino-7-oxononanoate synthase;3
RNA polymerase sigma factor RpoH;2
NADPH dehydrogenase;3
Biodegradative arginine decarboxylase;3
Cyclic pyranopterin monophosphate synthase;3
Lipoyl synthase, organellar chromatophore;2
RNA polymerase sigma factor RpoD;2
Acid sugar phosphatase;1
3'(2'),5'-bisphosphate nucleotidase CysQ;5
Alcohol dehydrogenase [acceptor];9
Acetylornithine/succinyldiaminopimelate aminotransferase;5
D-glycero-alpha-D-manno-heptose-1,7-bisphosphate 7-phosphatase;1
Tyrocidine synthase 2;2
Arginine decarboxylase;1
Mesaconyl-CoA hydratase;4
UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit;2
Thiol:disulfide interchange protein DsbE;4
putative iron-sulfur-binding oxidoreductase FadF;15
ATP phosphoribosyltransferase regulatory subunit;1
IS21 family transposase ISMt3;1
Peptide chain release factor 3;1
Spermidine export protein MdtI;2
HTH-type transcriptional regulator SrpS;2
Fused isobutyryl-CoA mutase;3
Iron-uptake system permease protein FeuC;1
Guanine/hypoxanthine permease PbuG;1
N-acyl-D-aspartate deacylase;1
Ferredoxin-type protein NapF;1
putative acrylyl-CoA reductase AcuI;3
Nicotine blue oxidoreductase;1
NAD(P)H-quinone oxidoreductase subunit 1, chloroplastic;2
Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase;13
IS481 family transposase ISChy6;1
3-sulfolactaldehyde reductase;2
Cyclic di-AMP synthase CdaA;1
Arginase;2
Chloramphenicol acetyltransferase;1
Replication initiation protein;1
Protein YhgF;1
HTH-type transcriptional regulatory protein GabR;1
HTH-type transcriptional regulator ArgP;1
Glycine betaine transporter BetP;3
HTH-type transcriptional regulator HdfR;4
NAD-dependent malic enzyme;5
Cobalt-precorrin-4 C(11)-methyltransferase;1
Glutamate decarboxylase beta;2
D-threo-3-hydroxyaspartate dehydratase;5
Glucokinase;10
Demethylrebeccamycin-D-glucose O-methyltransferase;1
Glucosamine kinase;1
IS481 family transposase ISGur11;3
Alkane 1-monooxygenase 1;2
Exo-alpha-(1->6)-L-arabinopyranosidase;2
Regulator of RpoS;2
Glucose 1-dehydrogenase;1
NAD(P)H-quinone oxidoreductase subunit 4L, chloroplastic;5
L-lactate dehydrogenase;3
Nicotinate phosphoribosyltransferase;11
putative acyl-CoA dehydrogenase;2
Bifunctional protein Aas;1
Transcriptional regulator WhiB2;1
Oligopeptide transport ATP-binding protein OppD;1
Arabinose-proton symporter;1
Sulfide dehydrogenase [flavocytochrome c] flavoprotein chain;7
Apocarotenoid-15,15'-oxygenase;1
Toxin RTX-I translocation ATP-binding protein;3
Elongation factor G, mitochondrial;2
IS30 family transposase ISSpn8;3
D-alanyl-D-alanine carboxypeptidase DacF;1
Glycerophosphodiester phosphodiesterase;1
Adenylosuccinate synthetase, organellar chromatophore;1
ISNCY family transposase ISMav9;1
Cold shock-like protein CspD;3
Glutamyl-tRNA(Gln) amidotransferase subunit B, chloroplastic/mitochondrial;3
NAD(P)H-quinone oxidoreductase subunit H, chloroplastic;1
DNA polymerase III subunit epsilon;1
Peroxiredoxin;2
peptidoglycan glycosyltransferase FtsW;1
Succinate-semialdehyde dehydrogenase [NADP(+)] GabD;1
acetate kinase;1
Farnesyl diphosphate synthase;3
M18 family aminopeptidase 2;4
Poly(3-hydroxyalkanoate) polymerase subunit PhaC;1
RNase adapter protein RapZ;1
Cysteine desulfurase;1
NDMA-dependent alcohol dehydrogenase;1
Antitoxin VapB43;1
ATP-dependent RNA helicase CshA;1
D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase;1
Sirohydrochlorin ferrochelatase;1
scyllo-inosose 3-dehydrogenase;1
Plipastatin synthase subunit B;1
tRNA-Ala(agc);1
Putative acyl-CoA dehydrogenase YdbM;1
Cyclohex-1-ene-1-carbonyl-CoA dehydrogenase;1
Putidaredoxin reductase CamA;3
D-glycero-alpha-D-manno-heptose 1-phosphate guanylyltransferase;1
Carboxylesterase;3
Protein translocase subunit SecA;1
tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC;1
N-acetylglucosamine repressor;1
Zinc transport protein ZntB;3
Biotin carboxylase;1
Demethylphylloquinone reductase NdbB;1
IS3 family transposase IS1240;2
IS30 family transposase IS1382;1
Phenol hydroxylase P5 protein;3
Glutamate mutase sigma subunit;1
Na(+)/H(+) antiporter NhaB;1
Glucan 1,6-alpha-glucosidase;1
3-beta-hydroxycholanate 3-dehydrogenase (NAD(+)) 2;1
2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase;3
Glycine betaine/carnitine/choline transport system permease protein OpuCD;2
Adenylyl-sulfate kinase;1
putative protein YagA;5
NAD(P)H-quinone oxidoreductase subunit J, chloroplastic;12
HTH-type transcriptional repressor BepR;9
Sulfite dehydrogenase subunit A;1
Osmoprotectant import ATP-binding protein OsmV;2
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase;2
Non-heme chloroperoxidase;2
Lipase 2;26
HTH-type transcriptional activator RhaS;2
IS200/IS605 family transposase ISDge10;2
Cyclic di-GMP phosphodiesterase response regulator RpfG;2
Membrane lipoprotein TmpC;2
ComE operon protein 3;1
transcriptional regulatory protein YebC;1
Levansucrase;1
hercynylcysteine sulfoxide lyase;10
Beta-lactamase TEM;7
cell division protein WhiA;1
[Ribosomal protein S18]-alanine N-acetyltransferase;1
IS3 family transposase ISPsy31;1
Co-chaperone protein HscB;1
Sortase D;1
C4-dicarboxylate transport transcriptional regulatory protein DctD;1
Ethanolamine ammonia-lyase heavy chain;1
P-loop guanosine triphosphatase YjiA;1
High-affinity branched-chain amino acid transport ATP-binding protein LivF;2
Peptidase T;1
Low-affinity inorganic phosphate transporter 1;1
Arabinose operon regulatory protein;1
Phenazine-1-carboxylate N-methyltransferase;1
Disulfide-bond oxidoreductase YghU;1
Ribonucleoside-diphosphate reductase subunit alpha 2;12
putative protein YdfO;6
Serine/threonine-protein phosphatase 1;25
Prophage DNA-packing protein NohA;23
Attachment invasion locus protein;22
Prophage tail fiber assembly protein TfaE;22
Putative aliphatic sulfonates transport permease protein SsuC;1
IS1595 family transposase ISAisp1;2
Tn3 family transposase IS1071;6
IS6 family transposase IS6100;1
Murein hydrolase activator EnvC;2
IS3 family transposase ISMyma1;1
putative protein YisK;1
5-(methylthio)ribulose-1-phosphate aldolase;1
Serine protease Do-like HtrB;8
Glutaredoxin arsenate reductase;2
Alkaline phosphatase synthesis sensor protein PhoR;2
2-oxo-hept-4-ene-1,7-dioate hydratase;1
12-dehydrotetracycline 5-monooxygenase/anhydrotetracycline 6-monooxygenase;1
IS630 family transposase ISMsm2;1
IS1380 family transposase ISMsm3;1
Porin MspD;1
Carnitine transport ATP-binding protein OpuCA;1
RNA polymerase sigma factor FliA;1
Cbb3-type cytochrome c oxidase subunit CcoN1;1
malate:quinone oxidoreductase;3
Putative multidrug export ATP-binding/permease protein;1
IS3 family transposase ISStma2;1
Streptomycin 3''-adenylyltransferase;1
Putative phosphoserine phosphatase 2;2
Zinc transporter ZitB;4
2-methylisocitrate lyase;1
N-acetyl-D-glucosamine kinase;1
putative multidrug resistance protein EmrY;4
S-adenosylmethionine decarboxylase proenzyme;1
Fatty acid metabolism regulator protein;1
3D-(3,5/4)-trihydroxycyclohexane-1,2-dione hydrolase;2
Endoglucanase E-2;2
IS982 family transposase ISLll1;1
IS256 family transposase IS905;3
IS982 family transposase IS982B;4
IS6 family transposase IS946V;1
IS3 family transposase IS981;1
IS3 family transposase ISAar45;1
IS21 family transposase ISLxx1;1
IS21 family transposase IS1415;1
IS256 family transposase ISMlu11;1
Fructose-bisphosphate aldolase class 1;1
IS5 family transposase ISBli8;2
IS481 family transposase ISKrh2;1
Sodium/proton-dependent alanine carrier protein;1
IS30 family transposase ISPfr14;1
D-erythrose-4-phosphate dehydrogenase;1
ISL3 family transposase ISPfr2;2
IS1380 family transposase ISFsp14;1
Molybdenum cofactor guanylyltransferase;1
putative L-galactonate transporter;1
tRNA pseudouridine synthase D;1
HTH-type transcriptional regulator PrtR;1
Exodeoxyribonuclease 8;2
Putative defective protein IntQ;1
Quinate/shikimate dehydrogenase;5
Protocatechuate 3,4-dioxygenase beta chain;1
IS3 family transposase ISMtsp5;1
IS3 family transposase ISAzs24;1
Phosphate-import permease protein PhnE;2
GTP pyrophosphokinase rsh;1
ATP-dependent DNA helicase PcrA;1
Beta-galactosidase;1
Lactose transport system permease protein LacG;1
Flagellar motor switch protein FliG;1
Nitrogen regulatory protein P-II 2;2
Bifunctional transcriptional activator/DNA repair enzyme Ada;1
Pyrophosphate--fructose 6-phosphate 1-phosphotransferase;1
putative 2-heptyl-3-hydroxy-4(1H)-quinolone synthase AqdB2;1
Oligopeptide-binding protein AppA;1
ADP-ribose pyrophosphatase;1
1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase;1
dCTP deaminase;1
Hygromycin-B 4-O-kinase;1
ISL3 family transposase ISSpn3;1
Oxaloacetate decarboxylase alpha chain;1
Putative TrmH family tRNA/rRNA methyltransferase;1
Protein hit;1
(S)-1-Phenylethanol dehydrogenase;2
Dipeptide transport system permease protein DppC;1
Tn3 family transposase;1
Xaa-Pro aminopeptidase;1
Adenosylcobalamin-dependent ribonucleoside-triphosphate reductase;1
IS3 family transposase ISBcen7;17
IS66 family transposase ISBcen19;1
IS481 family transposase ISBxe3;5
IS3 family transposase ISAisp2;10
IS3 family transposase ISBcen15;1
IS66 family transposase ISPpu14;1
5-carboxymethyl-2-hydroxymuconate Delta-isomerase;1
Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase;1
Flagellar hook-basal body complex protein FliE;1
High-affinity branched-chain amino acid transport system permease protein LivH;1
putative glucarate transporter;1
Phosphate import ATP-binding protein PstB;1
IS66 family transposase ISPpu19;1
IS1634 family transposase IS1549;1
3-succinoylsemialdehyde-pyridine dehydrogenase;1
Hydrogen peroxide-inducible genes activator;1
Fe-S protein maturation auxiliary factor SufT;1
Glycogen debranching enzyme;1
Thymidylate synthase;1
IS256 family transposase IS1511;1
IS256 family transposase IS1245;1
ISL3 family transposase ISPfr18;1
Tetracycline repressor protein class B from transposon Tn10;3
Ribosomal protein S12 methylthiotransferase RimO;2
5-oxoprolinase subunit A;1
putative siderophore transport system permease protein YfhA;1
Hemin-binding periplasmic protein HmuT;1
2-oxoglutarate dehydrogenase E1/E2 component;1
Lipoprotein-releasing system ATP-binding protein LolD;1
Glutathione transport system permease protein GsiD;1
Peptidoglycan-associated lipoprotein;2
putative sporulation protein YlmC;1
G/U mismatch-specific DNA glycosylase;1
Glucarate dehydratase;1
3-oxoacyl-[acyl-carrier-protein] reductase;1
Teichoic acid poly(glycerol phosphate) polymerase;1
Regulatory protein rop;2
4-hydroxybenzoate octaprenyltransferase;1
HTH-type transcriptional regulator PgrR;1
Constitutive lysine decarboxylase;1
2-octaprenylphenol hydroxylase;1
Lactose operon repressor;2
IS1182 family transposase ISP2;1
Respiratory nitrate reductase 2 alpha chain;1
Multidrug resistance protein MdtA;1
Nicotinamide riboside transporter PnuC;1
tRNA 5-carboxymethoxyuridine methyltransferase;1
putative lipoprotein YgdR;1
Fructose-bisphosphate aldolase class 2;1
Inner membrane protein YebE;1
Flagellar hook protein FlgE;1
Protein FdhE;1
Bleomycin resistance protein;1
UDP-N-acetyl-D-mannosamine dehydrogenase;1
Tetracycline resistance protein, class C;2
8'-apo-carotenoid 13,14-cleaving dioxygenase;1
Multidrug efflux pump LfrA;1
scyllo-inositol 2-dehydrogenase (NADP(+)) IolU;2
Transcriptional regulatory protein YpdB;1
Glucose-6-phosphate isomerase B;2
HTH-type transcriptional activator HxlR;2
3-hexulose-6-phosphate synthase;2
Pyrophosphatase PpaX;1
Transcriptional regulatory protein LiaR;1
Replication termination protein;1
IS256 family transposase ISDet4;1
dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucose transaminase;1
IS21 family transposase ISPsy41;1
IS21 family transposase ISPpu7;1
putative murein peptide carboxypeptidase;1
A-type flagellin;1
Translational regulator CsrA;1
3-hexulose-6-phosphate isomerase;1
DNA-invertase hin;2
Tn3 family transposase TnXo19;1
Protein CbbX;1
IS110 family transposase IS650;1
IS1182 family transposase ISBsp5;1
IS110 family transposase ISHaha5;1
1,4-dihydroxy-2-naphthoyl-CoA hydrolase;1
IS4 family transposase ISDha5;1
ISLre2 family transposase ISGsp3;1
Flap endonuclease Xni;1
NAD-dependent protein deacylase sirtuin-5, mitochondrial;1
Malate synthase A;1
Putrescine transport system permease protein PotH;1
Phosphoenolpyruvate-protein phosphotransferase;1
Fosmidomycin resistance protein;1
EtfAB:quinone oxidoreductase;1
6-deoxyerythronolide-B synthase EryA1, modules 1 and 2;1
7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase;1
Alkanal monooxygenase beta chain;8
Alkanal monooxygenase alpha chain;8
2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase;1
Single-stranded DNA-binding protein A;1
IS3 family transposase ISSth1b;2
HTH-type transcriptional activator Btr;1
putative protein YqjZ;1
IS1182 family transposase ISOih1;1
putative siderophore transport system ATP-binding protein YusV;1
RNA polymerase sigma factor SigV;1
2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase;1
IS481 family transposase ISHne2;1
Crotonyl-CoA reductase;1
IS3 family transposase ISRme12;1
Glucose facilitated diffusion protein;1
putative ATP-dependent DNA helicase YoaA;1
Outer membrane protein assembly factor BamD;1
